Tour,surface,best_of,w_dk_score,l_dk_score,WIO,LIO,straight_sets
ATP,Hard,3,78.5,14.75,0.911764706,0.088235294,1
WTA,Hard,3,85,7.5,0.68627451,0.31372549,1
WTA,Hard,3,85,7.5,0.67961165,0.32038835,1
ATP,Clay,3,77.75,13.25,0.911764706,0.088235294,1
ATP,Hard,3,77,12.5,0.911764706,0.088235294,1
ATP,Clay,3,77,13.25,0.911764706,0.088235294,1
WTA,Hard,3,85,7.5,0.650485437,0.349514563,1
ATP,Clay,3,77,13.25,0.911764706,0.088235294,1
WTA,Hard,3,85,7.5,0.647058824,0.352941176,1
WTA,Hard,3,85,7.5,0.647058824,0.352941176,1
ATP,Clay,3,76.25,12.5,0.911764706,0.088235294,1
ATP,Hard,3,74,15.5,0.911764706,0.088235294,1
WTA,Hard,3,85,7.5,0.631067961,0.368932039,1
ATP,Clay,3,72.25,18.25,0.911764706,0.088235294,1
ATP,Hard,3,72.25,18.25,0.911764706,0.088235294,1
ATP,Hard,3,71.5,22,0.911764706,0.088235294,1
WTA,Hard,3,85,12,0.553398058,0.446601942,1
ATP,Hard,3,69.5,25.25,0.911764706,0.088235294,1
ATP,Hard,3,69.25,25,0.911764706,0.088235294,1
WTA,Hard,3,85,7.5,0.5,0.5,1
WTA,Hard,3,85,12,0.495145631,0.504854369,1
WTA,Hard,3,85,7.5,0.475728155,0.524271845,1
WTA,Hard,3,85,7.5,0.431372549,0.568627451,1
ATP,Grass,3,69.25,25,0.911764706,0.088235294,1
WTA,Hard,3,85,7.5,0.388349515,0.611650485,1
WTA,Hard,3,85,12,0.378640777,0.621359223,1
ATP,Hard,5,85,10.6,0.31372549,0.68627451,0
ATP,Hard,5,84.9,6.2,0.941747573,0.058252427,1
ATP,Grass,5,84.9,6.2,0.941747573,0.058252427,1
ATP,Hard,5,84.9,6.2,0.932038835,0.067961165,1
ATP,Hard,5,84.9,6.2,0.911764706,0.088235294,1
ATP,Hard,5,84.9,6.2,0.902912621,0.097087379,1
ATP,Clay,5,84.9,6.2,0.862745098,0.137254902,1
ATP,Grass,5,84.9,6.2,0.735294118,0.264705882,1
ATP,Hard,5,84.8,6.1,0.862745098,0.137254902,1
ATP,Grass,5,84.8,7.7,0.68627451,0.31372549,1
ATP,Hard,5,84.8,6.1,0.59223301,0.40776699,1
ATP,Hard,5,84.8,6.1,0.40776699,0.59223301,1
ATP,Hard,5,84.8,7.7,0.392156863,0.607843137,1
ATP,Hard,5,84.6,11.1,0.757281553,0.242718447,1
WTA,Clay,3,84.5,5.75,0.960784314,0.039215686,1
